selling_price,year,km_driven,mileage,engine,max_power,age,make,model,Individual,Trustmark Dealer,Diesel,Electric,LPG,Petrol,Manual,5,>5
0.04368401892974162,0.6896551724137936,0.03155346193320877,0.13534482758620686,0.11789099526066352,0.06650563607085347,0.3103448275862069,0.18437072928314116,0.04252217227554375,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
0.25239655381628495,0.8275862068965552,0.005236979920524225,0.12844827586206897,0.1772808056872038,0.12399355877616748,0.1724137931034483,0.20723071188967618,0.2259749726643182,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
0.08979492780002445,0.6206896551724128,0.015763572725598043,0.11206896551724137,0.1772808056872038,0.12077294685990338,0.3793103448275862,0.20723071188967618,0.12027700157939519,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
0.09513408566921508,0.6896551724137936,0.009710781862680597,0.14586206896551723,0.14780805687203794,0.09999999999999999,0.3103448275862069,0.18437072928314116,0.09354877900619626,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
0.26210411357844976,0.7931034482758577,0.00786862812179268,0.16181034482758622,0.22186018957345974,0.1507085346215781,0.2068965517241379,0.22462417691638759,0.30008504434455163,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
0.15532095619463687,0.7241379310344769,0.009184452222426906,0.12844827586206897,0.14780805687203794,0.09999999999999999,0.27586206896551724,0.18437072928314116,0.12027700157939519,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
0.13833272661084847,0.7241379310344769,0.010500276323061133,0.14103448275862068,0.1772808056872038,0.11900161030595814,0.27586206896551724,0.20723071188967618,0.1372858704896127,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
0.18444363548113127,0.8965517241379359,0.004582225848048634,0.14232758620689656,0.14780805687203794,0.0999033816425121,0.10344827586206896,0.18437072928314116,0.15429473939983018,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
0.4950855478704051,0.9310344827586192,0.005236979920524225,0.12198275862068965,0.14780805687203794,0.1825281803542673,0.06896551724137931,0.20723071188967618,0.5175555825537611,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.26453100351899095,0.8620689655172384,0.018395220926866497,0.12491379310344826,0.22111966824644552,0.15297906602254427,0.13793103448275862,0.3041371598956399,0.30858947879966037,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
0.13347894672976607,0.7931034482758577,0.013131924524329588,0.1300862068965517,0.2080864928909953,0.10307568438003221,0.2068965517241379,0.1401416325009321,0.12489369456931138,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
0.543623346681229,0.9310344827586192,0.004710650280270534,0.14112068965517244,0.2163803317535545,0.16665056360708533,0.06896551724137931,0.16001987824574515,0.5199854209695065,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
0.23346681228006358,0.8620689655172384,0.007426774388799706,0.10862068965517242,0.1772808056872038,0.1288244766505636,0.13793103448275862,0.18437072928314116,0.1372858704896127,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
0.18444363548113127,0.8275862068965552,0.007079133661412143,0.1322413793103448,0.17742890995260666,0.11433172302737521,0.1724137931034483,0.1724437818362533,0.18539667112137076,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.1917243053027549,0.7241379310344769,0.017152556646227533,0.15793103448275864,0.2343009478672986,0.1953623188405797,0.27586206896551724,0.20723071188967618,0.22476005345644556,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
0.34947215143793303,0.8275862068965552,0.013131924524329588,0.13482758620689655,0.2163803317535545,0.16658615136876007,0.1724137931034483,0.16001987824574515,0.2563479528611352,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
1.0000000000000002,0.8620689655172384,0.0015526724387483883,0.08974137931034483,0.2959123222748815,0.2964251207729469,0.13793103448275862,0.9551497080382676,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.300934352627109,0.8275862068965552,0.01997420984762757,0.20767241379310342,0.18483412322274884,0.13446054750402575,0.1724137931034483,0.18437072928314116,0.3243834285020052,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
0.2897706589006194,0.8275862068965552,0.005236979920524225,0.18275862068965515,0.18483412322274884,0.11111111111111112,0.1724137931034483,0.18437072928314116,0.22111529583282752,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
0.6771022934109951,0.7586206896551744,0.01707939682623227,0.13163793103448274,0.31738744075829384,0.26570048309178745,0.24137931034482757,1.0,0.8444295954319043,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.1917243053027549,0.7586206896551744,0.016342535329877103,0.21034482758620687,0.18483412322274884,0.11111111111111112,0.24137931034482757,0.18437072928314116,0.19803183088324663,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
0.2790923431622382,0.7241379310344769,0.028921813731940315,0.0775,0.369372037914692,0.1539452495974235,0.27586206896551724,0.43334575723692476,0.3426072166200954,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
0.27666545322169694,0.7931034482758577,0.005236979920524225,0.14999999999999997,0.1772808056872038,0.1257648953301127,0.2068965517241379,0.18437072928314116,0.2757866601870981,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
